SK_ID_CURR,NAME_CONTRACT_TYPE,AMT_CREDIT,AMT_ANNUITY,CODE_GENDER,AGE,NAME_FAMILY_STATUS,NAME_HOUSING_TYPE,NAME_INCOME_TYPE,AMT_INCOME_TOTAL,TARGET
230160,Cash loans,162000.0,12928.5,M,54.0,Widow,House / apartment,Working,67500.0,0
199156,Cash loans,253737.0,20178.0,F,50.0,Married,Rented apartment,Unemployed,45000.0,0
379007,Cash loans,126000.0,8203.5,F,33.0,Married,House / apartment,Unemployed,67500.0,0
109133,Cash loans,679500.0,27076.5,F,59.0,Married,House / apartment,Unemployed,121500.0,0
302937,Cash loans,193392.0,7420.5,F,61.0,Widow,House / apartment,Working,166500.0,0
248909,Cash loans,1422337.5,39244.5,F,57.0,Married,House / apartment,Working,225000.0,0
435101,Cash loans,276277.5,21825.0,F,42.0,Separated,House / apartment,Businessman,472500.0,0
451830,Cash loans,1162170.0,30784.5,F,34.0,Civil marriage,House / apartment,Working,180000.0,0
264916,Cash loans,598486.5,21627.0,F,35.0,Married,House / apartment,Working,112500.0,0
288697,Cash loans,995562.0,55719.0,F,46.0,Married,House / apartment,Working,391500.0,0
399265,Cash loans,533668.5,35937.0,F,58.0,Civil marriage,House / apartment,Working,157500.0,0
347139,Cash loans,1675413.0,58365.0,F,36.0,Married,House / apartment,Unemployed,180000.0,0
348565,Cash loans,592560.0,35937.0,M,32.0,Single / not married,House / apartment,Businessman,270000.0,1
134483,Cash loans,781920.0,25969.5,F,44.0,Married,House / apartment,Working,180000.0,0
360797,Cash loans,315000.0,21181.5,M,30.0,Single / not married,House / apartment,Unemployed,180000.0,1
208849,Cash loans,225000.0,22383.0,,68.0,Civil marriage,House / apartment,Unemployed,103500.0,0
426490,Cash loans,315000.0,25015.5,M,34.0,Single / not married,House / apartment,Working,144000.0,1
165229,Revolving loans,135000.0,6750.0,F,32.0,Single / not married,House / apartment,Unemployed,135000.0,0
300195,Cash loans,278613.0,14283.0,F,52.0,Separated,House / apartment,Working,144000.0,0
451426,Cash loans,1546141.5,82377.0,M,31.0,Single / not married,House / apartment,Businessman,382500.0,0
227265,Cash loans,728460.0,44694.0,F,,Single / not married,House / apartment,Working,180000.0,1
223634,Cash loans,794173.5,43213.5,M,27.0,Married,House / apartment,Unemployed,135000.0,0
264903,Cash loans,284400.0,16011.0,F,66.0,Married,House / apartment,Working,90000.0,0
398644,Cash loans,1125000.0,33025.5,M,50.0,Married,Municipal apartment,Businessman,202500.0,0
397608,Cash loans,315000.0,23049.0,,36.0,Single / not married,House / apartment,Working,180000.0,1
266187,Cash loans,103500.0,9675.0,M,25.0,Separated,With parents,Working,180000.0,0
226622,Cash loans,1116076.5,40216.5,F,35.0,Civil marriage,House / apartment,Unemployed,126000.0,1
281466,Cash loans,573628.5,29416.5,F,51.0,Married,House / apartment,Working,135000.0,1
187483,Cash loans,521280.0,25209.0,F,58.0,Married,House / apartment,Unemployed,135000.0,0
248242,Revolving loans,675000.0,33750.0,F,27.0,Married,House / apartment,Unemployed,202500.0,0
390914,Cash loans,269550.0,16416.0,M,,Married,House / apartment,Businessman,270000.0,0
176940,Cash loans,752742.0,40234.5,F,35.0,Separated,House / apartment,,202500.0,0
139369,Cash loans,454500.0,15151.5,F,44.0,Separated,House / apartment,Working,135000.0,0
104874,Cash loans,961146.0,28233.0,F,41.0,Married,House / apartment,Working,112500.0,0
414170,Cash loans,291915.0,15034.5,F,49.0,Married,House / apartment,Working,112500.0,0
229259,Cash loans,1212426.0,43083.0,F,47.0,Married,House / apartment,Working,171000.0,0
134148,Revolving loans,202500.0,10125.0,F,23.0,Single / not married,With parents,Unemployed,90000.0,0
288659,Cash loans,343377.0,19840.5,F,56.0,Married,House / apartment,Unemployed,90000.0,0
167115,Cash loans,247275.0,19417.5,F,51.0,Married,House / apartment,Unemployed,180000.0,0
154444,Cash loans,148500.0,14593.5,M,62.0,Married,House / apartment,Unemployed,90000.0,0
364267,Cash loans,269550.0,21294.0,M,31.0,Married,House / apartment,Businessman,270000.0,0
143391,Cash loans,152820.0,16344.0,F,41.0,Married,House / apartment,Unemployed,45000.0,0
397344,Cash loans,675000.0,24376.5,F,55.0,Married,House / apartment,Working,112500.0,0
208801,Cash loans,436032.0,20457.0,M,64.0,Married,House / apartment,Unemployed,76500.0,0
432420,Revolving loans,810000.0,40500.0,F,36.0,Married,House / apartment,Businessman,270000.0,0
335191,Cash loans,294322.5,10701.0,F,46.0,Married,House / apartment,Working,103500.0,0
195753,Cash loans,417024.0,21420.0,F,39.0,Married,House / apartment,Working,135000.0,0
396780,Cash loans,630000.0,18549.0,F,60.0,Married,House / apartment,Unemployed,72000.0,0
283627,Cash loans,1354500.0,37377.0,F,56.0,Married,House / apartment,Unemployed,112500.0,0
243103,Cash loans,647046.0,19048.5,F,65.0,Married,House / apartment,Unemployed,112500.0,0
115782,Cash loans,538389.0,38416.5,F,37.0,Married,House / apartment,Working,135000.0,0
371847,Revolving loans,157500.0,7875.0,F,26.0,Married,House / apartment,Unemployed,54000.0,0
138934,Cash loans,107820.0,5634.0,F,56.0,Separated,House / apartment,Unemployed,45000.0,0
162545,Cash loans,508495.5,25960.5,M,32.0,Married,House / apartment,Businessman,202500.0,0
273360,Cash loans,390447.0,14850.0,F,29.0,Single / not married,House / apartment,Working,67500.0,0
251865,Cash loans,550980.0,43659.0,M,49.0,Single / not married,House / apartment,,135000.0,1
139330,Revolving loans,202500.0,10125.0,F,44.0,Married,House / apartment,Working,67500.0,0
453031,Cash loans,293535.0,16978.5,F,42.0,Married,House / apartment,,135000.0,0
374782,Revolving loans,225000.0,11250.0,M,24.0,Single / not married,House / apartment,Working,144000.0,0
182545,Cash loans,314055.0,13963.5,F,60.0,Married,House / apartment,Unemployed,225000.0,0
268245,Cash loans,1113840.0,50463.0,F,42.0,Married,House / apartment,Unemployed,112500.0,0
155851,Cash loans,408780.0,14809.5,F,59.0,Married,House / apartment,Unemployed,103500.0,0
333749,Cash loans,284400.0,20740.5,F,31.0,Civil marriage,House / apartment,Working,135000.0,0
220791,Cash loans,269550.0,10116.0,F,61.0,Married,House / apartment,Working,67500.0,0
188877,Cash loans,257391.0,26374.5,F,63.0,Separated,House / apartment,Working,135000.0,0
249024,Cash loans,808650.0,31333.5,M,50.0,Married,House / apartment,Unemployed,157500.0,0
293379,Cash loans,454500.0,20020.5,,51.0,Married,House / apartment,Unemployed,85500.0,0
127295,Revolving loans,1237500.0,61875.0,F,48.0,Married,House / apartment,Businessman,450000.0,0
352918,Cash loans,662026.5,37098.0,F,55.0,Separated,House / apartment,Working,121500.0,0
246048,Cash loans,1024740.0,49297.5,M,31.0,Married,House / apartment,Working,450000.0,0
314042,Cash loans,675000.0,69295.5,M,45.0,Married,House / apartment,Unemployed,450000.0,0
212120,Cash loans,170640.0,6561.0,F,59.0,Single / not married,House / apartment,Unemployed,67500.0,0
230283,Revolving loans,585000.0,29250.0,F,39.0,Married,Rented apartment,Working,180000.0,0
423097,Cash loans,454500.0,14661.0,F,43.0,Civil marriage,House / apartment,Unemployed,135000.0,0
133727,Cash loans,358443.0,13639.5,F,44.0,Single / not married,Office apartment,Businessman,202500.0,0
369719,Cash loans,675000.0,28728.0,F,31.0,Married,House / apartment,Businessman,225000.0,0
358314,Cash loans,808650.0,23773.5,F,60.0,Civil marriage,House / apartment,Working,171000.0,0
264231,Cash loans,1483650.0,61357.5,F,42.0,Married,House / apartment,Working,112500.0,0
174628,Cash loans,521280.0,28408.5,F,27.0,Single / not married,House / apartment,Working,180000.0,0
396499,Cash loans,417024.0,25330.5,F,43.0,Married,House / apartment,Unemployed,90000.0,0
108594,Cash loans,473760.0,56353.5,M,30.0,Married,House / apartment,Working,202500.0,1
175437,Cash loans,808650.0,21460.5,F,33.0,Civil marriage,House / apartment,Working,157500.0,0
444704,Cash loans,781920.0,32998.5,F,31.0,Married,House / apartment,Working,175500.0,0
224964,Cash loans,1528200.0,53248.5,F,34.0,Civil marriage,With parents,Businessman,225000.0,0
129967,Cash loans,545040.0,26640.0,F,27.0,Married,House / apartment,Working,99000.0,1
341241,Cash loans,444420.0,21510.0,F,48.0,Married,House / apartment,Businessman,202500.0,0
266053,Cash loans,781920.0,33259.5,M,47.0,Married,Municipal apartment,Working,90000.0,0
116203,Cash loans,927252.0,25627.5,M,30.0,Married,House / apartment,Unemployed,180000.0,0
211725,Cash loans,647046.0,21001.5,F,55.0,Married,House / apartment,Unemployed,135000.0,0
101851,Cash loans,900000.0,25794.0,F,32.0,Civil marriage,House / apartment,Working,90000.0,0
343880,Cash loans,1502941.5,52371.0,F,33.0,Married,House / apartment,Businessman,225000.0,0
350568,Cash loans,1718473.5,45463.5,M,33.0,Married,House / apartment,Businessman,405000.0,0
390589,Cash loans,835380.0,31086.0,F,23.0,Civil marriage,House / apartment,Working,144000.0,0
307521,Cash loans,780363.0,31077.0,F,57.0,Married,House / apartment,Working,180000.0,0
443217,Cash loans,314100.0,17167.5,M,28.0,Married,House / apartment,Working,216000.0,0
334439,Cash loans,900000.0,26446.5,F,56.0,Married,Office apartment,Working,157500.0,0
209058,Cash loans,545040.0,26509.5,M,36.0,Civil marriage,House / apartment,Working,72000.0,0
182430,Cash loans,423000.0,18049.5,F,62.0,Widow,House / apartment,Unemployed,90000.0,0
400408,Cash loans,135000.0,14539.5,F,25.0,Married,With parents,Unemployed,135000.0,0
260350,Revolving loans,225000.0,11250.0,F,49.0,Married,House / apartment,Unemployed,90000.0,0
232667,Cash loans,332473.5,21775.5,F,30.0,Married,House / apartment,Working,247500.0,0
379458,Cash loans,720000.0,36891.0,F,58.0,Married,House / apartment,Working,135000.0,0
129395,Cash loans,284400.0,14575.5,F,24.0,Widow,With parents,Working,135000.0,0
166253,Cash loans,135000.0,5944.5,F,56.0,Single / not married,House / apartment,Unemployed,72000.0,0
215018,Cash loans,332473.5,12532.5,,60.0,Widow,House / apartment,Unemployed,45000.0,0
231929,Cash loans,1024740.0,52452.0,F,30.0,Married,House / apartment,Unemployed,67500.0,1
455877,Cash loans,900000.0,31887.0,F,39.0,Married,House / apartment,Working,135000.0,0
394732,Cash loans,1255680.0,38200.5,F,53.0,Civil marriage,House / apartment,Working,180000.0,0
341600,Cash loans,609187.5,25938.0,F,60.0,Married,House / apartment,Working,157500.0,0
312969,Cash loans,612612.0,26086.5,F,59.0,Married,House / apartment,,337500.0,0
204513,Cash loans,582768.0,37242.0,M,44.0,Separated,House / apartment,Working,270000.0,0
190970,Cash loans,269550.0,21739.5,M,27.0,Civil marriage,House / apartment,Unemployed,135000.0,0
402085,Revolving loans,180000.0,9000.0,F,24.0,Civil marriage,House / apartment,Unemployed,81000.0,0
378978,Cash loans,168102.0,16506.0,F,43.0,Widow,House / apartment,Working,135000.0,0
184076,Cash loans,675000.0,32472.0,M,41.0,Married,House / apartment,,99000.0,1
420302,Cash loans,2013840.0,53122.5,F,34.0,Married,House / apartment,Businessman,225000.0,0
124616,Cash loans,1323000.0,38812.5,F,38.0,Married,House / apartment,Working,135000.0,0
240137,Cash loans,454500.0,17739.0,F,31.0,Married,House / apartment,Unemployed,76500.0,1
318147,Cash loans,135000.0,14670.0,M,,Single / not married,House / apartment,Working,112500.0,0
246201,Cash loans,59346.0,4887.0,F,29.0,Married,House / apartment,Unemployed,103500.0,0
336873,Cash loans,161730.0,13963.5,M,47.0,Civil marriage,House / apartment,Working,112500.0,0
429713,Cash loans,95940.0,11515.5,M,43.0,Married,With parents,Unemployed,49500.0,0
373375,Cash loans,765000.0,49018.5,F,28.0,Married,House / apartment,Working,270000.0,0
433972,Revolving loans,157500.0,7875.0,F,31.0,Married,House / apartment,Unemployed,112500.0,0
309140,Cash loans,291384.0,22549.5,M,40.0,Married,House / apartment,Unemployed,180000.0,0
128031,Cash loans,640080.0,24259.5,F,35.0,Married,House / apartment,Working,225000.0,0
