SessionID,StudentLevel,Discipline,SessionLengthMin,TaskType,AI_AssistanceLevel,FinalOutcome,UsedAgain,SatisfactionRating,Prompts,SessionDateTime
SESSION00001,Undergraduate,Computer Science,31.2,Studying,2,Assignment Completed,True,1.0,What topics are covered by Computer Science studies?; Is it beneficial to learn Kotlin or Swift for mobile development?; Must UI designers know how to draw interfaces?; Where are big data technologies applied?; Do front-end developers need knowledge of SQL?; How do NoSQL databases work?; Which operating system is most popular among developers?; How can one become a qualified programmer?; What online courses help study computer science?; What are the differences between C++ and Java?; Why is GitHub so popular among developers?,2024-11-03 07:10:45
SESSION00002,Undergraduate,Psychology,13.09,Studying,3,Assignment Completed,True,2.0,What are cognitive biases?; What psychological effects influence decision-making?; How to establish contact with people of different ages?; What leadership styles exist?; Why is maintaining a work-life balance important?; What theories of motivation exist in psychology?,2024-08-25 08:59:12
SESSION00003,Undergraduate,Business,19.22,Coding,3,Assignment Completed,True,3.3,What expert predictions see cryptocurrency development?; What competitive advantages attract customers?; What investment attraction channels suit small businesses best?; What marketing strategies do large brands employ?; What challenges face new business owners?,2025-01-12 00:02:38
SESSION00004,Undergraduate,Computer Science,3.7,Coding,3,Assignment Completed,True,3.5,Explain the basics of programming in Python.,2025-05-06 00:06:13
SESSION00005,Undergraduate,Psychology,28.12,Writing,3,Assignment Completed,True,2.9,What beliefs influence our perception of the world?; What stages do romantic relationships pass through?; What factors shape character formation?; How can signs of psychological trauma be recognized?; What methods do psychologists suggest for combating insomnia?; How does motivation impact success?; What mechanisms of memory do psychologists distinguish?; Why is self-esteem crucial?; What psychological barriers hinder professional growth?,2025-03-18 14:28:07
SESSION00006,Graduate,Business,7.54,Coding,5,Idea Drafted,True,5.0,What metrics evaluate business efficiency?,2025-01-17 18:21:39
SESSION00007,High School,Biology,14.6,Writing,3,Assignment Completed,False,1.9,Which organisms belong to protozoa?; What vitamins are critical for health?; What algae form the basis of ocean food chains?,2024-09-07 20:06:14
SESSION00008,Undergraduate,Biology,9.2,Writing,5,Assignment Completed,True,3.9,Who contributed significantly to microbiology?; What hormones govern organismal growth and development?; What diseases treat antibiotics?,2024-12-26 12:40:09
SESSION00009,Undergraduate,Business,8.15,Brainstorming,3,Assignment Completed,True,3.3,What managerial mistakes destroy companies?,2025-06-18 19:40:02
SESSION00010,Undergraduate,Math,5.57,Studying,3,Assignment Completed,False,1.4,What figures undergo orthogonal projection?,2025-04-14 17:57:08
SESSION00011,High School,Math,24.52,Writing,2,Assignment Completed,False,1.9,What inequality symbols mean “less than” and “greater than?”; What limits call indeterminate?; What concepts lie at algebra’s foundation?; What functions integrate elementarily?; What arithmetic operations teach primary school students?; What graphs exhibit symmetry relative to axis Y?,2025-02-24 19:31:40
SESSION00012,Undergraduate,Psychology,11.51,Coding,3,Assignment Completed,False,3.9,What psychological effects influence decision-making?; What stages does personality go through during its development?; What emotions are considered basic?; What strategies effectively combat procrastination?; What practices develop mindfulness?,2024-11-07 01:06:46
SESSION00013,Undergraduate,History,15.47,Studying,5,Idea Drafted,True,4.9,What reforms changed Russia under Peter I?; What states arose following Roman Empire collapse?; What peoples joined Byzantine Empire?; What technological breakthroughs influenced humankind?; What historic monuments survive in Rome?; What transformations followed industrial revolution?,2024-07-05 20:51:22
SESSION00014,Undergraduate,Business,24.13,Writing,4,Idea Drafted,True,3.7,What innovations transform service industries?; What forecasts predict electronic commerce growth?; What Russian legislation matters for entrepreneurs?; What benefits does outsourcing offer businesses?; What economic crises impacted the global economy?,2024-11-03 03:27:32
SESSION00015,High School,Computer Science,22.51,Writing,3,Assignment Completed,True,4.9,What types of network attacks exist?; Is QA engineering a promising profession?; How to write clean and maintainable code?; Will cloud infrastructure benefit startups?; What prospects do VR and AR technologies have?; Why is GitHub so popular among developers?; How do NoSQL databases work?; Where are big data technologies applied?,2025-05-21 15:48:16
SESSION00016,High School,Psychology,22.16,Coding,2,Idea Drafted,True,2.8,What stages does personality go through during its development?; How does stress affect productivity?; How can signs of psychological trauma be recognized?; What techniques boost creative thinking?; What psychological effects influence decision-making?; What beliefs influence our perception of the world?,2024-11-22 23:00:48
SESSION00017,Undergraduate,Business,6.46,Writing,5,Confused,True,5.0,What contemporary marketing concepts remain relevant?; What skills are necessary for entrepreneurs?,2025-04-27 03:28:28
SESSION00018,High School,Biology,18.36,Studying,2,Confused,False,1.2,What enzymes speed up chemical reactions in cells?; What tissues compose plants?; What parts of the nervous system control reflexes?; What bacteria inhabit the human gut?,2025-04-13 05:18:23
SESSION00019,Undergraduate,Math,18.26,Studying,5,Assignment Completed,False,4.9,What calculations involve financial mathematics?; What inequality symbols mean “less than” and “greater than?”; What boundary conditions impose restrictions?; What figures undergo orthogonal projection?,2024-12-08 17:46:16
